rural_score_summ,tot_cases,inc,se,conf_lower,conf_upper
Large Metropolitan,1842,0.9901847533157885,0.02329996062309982,0.9459820766437419,1.036452877815246
Medium/Small Metropolitan,1623,1.5104045375195283,0.02482222683731816,1.438679898518433,1.5857049711397986
Micropolitan/Non-core,1389,1.932338788654514,0.026831742481762743,1.833342606410038,2.036680531551274
